-2.2300,-3.3111
-2.1933,-3.3263
-2.1565,-3.3413
-2.1194,-3.3560
-2.0823,-3.3705
-2.0449,-3.3847
-2.0074,-3.3987
-1.9698,-3.4124
-1.9320,-3.4258
-1.8941,-3.4390
-1.8560,-3.4519
-1.8177,-3.4645
-1.7794,-3.4769
-1.7409,-3.4891
-1.7022,-3.5009
-1.6635,-3.5125
-1.6246,-3.5238
-1.5856,-3.5349
-1.5464,-3.5457
-1.5072,-3.5562
-1.4678,-3.5665
-1.4284,-3.5764
-1.3888,-3.5861
-1.3491,-3.5956
-1.3093,-3.6047
-1.2694,-3.6136
-1.2294,-3.6222
-1.1893,-3.6306
-1.1491,-3.6386
-1.1089,-3.6464
-1.0685,-3.6539
-1.0281,-3.6611
-0.9876,-3.6681
-0.9470,-3.6747
-0.9063,-3.6811
-0.8656,-3.6872
-0.8248,-3.6930
-0.7840,-3.6986
-0.7431,-3.7038
-0.7021,-3.7088
-0.6611,-3.7135
-0.6200,-3.7179
-0.5789,-3.7220
-0.5377,-3.7259
-0.4965,-3.7295
-0.4553,-3.7327
-0.4140,-3.7357
-0.3727,-3.7384
-0.3313,-3.7409
-0.2900,-3.7430
-0.2486,-3.7449
-0.2072,-3.7464
-0.1658,-3.7477
-0.1243,-3.7487
-0.0829,-3.7494
-0.0415,-3.7499
0.0000,-3.7500
0.0415,-3.7499
0.0829,-3.7494
0.1243,-3.7487
0.1658,-3.7477
0.2072,-3.7464
0.2486,-3.7449
0.2900,-3.7430
0.3313,-3.7409
0.3727,-3.7384
0.4140,-3.7357
0.4553,-3.7327
0.4965,-3.7295
0.5377,-3.7259
0.5789,-3.7220
0.6200,-3.7179
0.6611,-3.7135
0.7021,-3.7088
0.7431,-3.7038
0.7840,-3.6986
0.8248,-3.6930
0.8656,-3.6872
0.9063,-3.6811
0.9470,-3.6747
0.9876,-3.6681
1.0281,-3.6611
1.0685,-3.6539
1.1089,-3.6464
1.1491,-3.6386
1.1893,-3.6306
1.2294,-3.6222
1.2694,-3.6136
1.3093,-3.6047
1.3491,-3.5956
1.3888,-3.5861
1.4284,-3.5764
1.4678,-3.5665
1.5072,-3.5562
1.5464,-3.5457
1.5856,-3.5349
1.6246,-3.5238
1.6635,-3.5125
1.7022,-3.5009
1.7409,-3.4891
1.7794,-3.4769
1.8177,-3.4645
1.8560,-3.4519
1.8941,-3.4390
1.9320,-3.4258
1.9698,-3.4124
2.0074,-3.3987
2.0449,-3.3847
2.0823,-3.3705
2.1194,-3.3560
2.1565,-3.3413
2.1933,-3.3263
2.2300,-3.3111
2.2665,-3.2956
2.3028,-3.2798
2.3390,-3.2638
